source,target,total_normalized_amount_for_old_players
8505,416,0
610,10920,0
58,1148,0
6195,7198,0
1084,940,0
122,6158,0
2867,940,0
6689,237,0
419,12,0
7185,829,0
2700,3725,0
27,33,0
415,524,0
408,1385,0
6992,6996,0
2477,8519,0
130,1390,0
3592,16780,0
237,33,0
327,419,0
1095,1158,0
18333,132,0
237,18,0
317,610,0.697674419
332,130,0
2381,833,0
4255,749,0
33,27,0
1532,380,0
2394,4463,0
202,218,0
458,410,0
1455,202,0
2503,5868,0
2425,9840,0
6993,16247,0
447,56,0
244,3911,0
53,1162,0
35477,2441,0
458,398,0
2311,2745,0
2700,2696,0
940,1082,0
503,4441,0
3566,41,0
9006,982,0
566,1111,0
441,51931,0
10957,2424,0
1091,43,0
290,11300,0
2394,2311,0
814,5546,0
607,3037,0
120,833,0
1184,6365,0
130,4771,0
234,467,0
6227,3551,0
238,2293,0
6,868,0
697,62,0.018018018
924,1267,0
8104,339,0
122,605,0
800,410,0
1075,979,0
20624,503,0
420,999,0
2796,1032,0
441,21957,0
52,2,0
31620,3060,0
114,15541,0
936,1096,0
683,47,0
2693,5268,0
46,5,0
15,64,0
4083,416,0
12109,5107,0
17776,2439,0
13,368,0
1043,2079,0
27,6,0
641,221,0
144,2337,0
520,1111,0
103,589,0
762,180,0
350,317,0
10484,114,0
164,677,0
814,8685,0
2832,524,0
2362,144,0
533,42,0
2,2783,0
50747,697,0
8970,1025,0
1095,415,0
317,631,0
383,312,0
995,750,0
24575,12109,0
81,868,0
39722,3714,0
553,683,0
204,2531,0
1104,1386,0
3544,1038,0
2331,46,0
1237,762,0
265,1091,0
11609,266,0
5268,10694,0
144,336,0
2227,12302,0
58,941,0
27,16,0
4153,5,0
9010,520,0
520,3600,0
1075,237,0
1386,1627,0
1274,2944,0
2741,1083,0
169,26973,0
131,150,0
2375,2463,0
322,940,0
2420,829,0
9083,6418,0
2441,10534,0
9554,144,0
1390,607,0
897,368,0
1387,6574,0.04950495
6676,4603,0
29,1061,0
45080,918,0
3008,543,0
18105,1023,0
1411,3751,0
897,472,0
399,1219,0
601,3508,0
1426,384,0
697,9644,0
1511,163,0
65,533,0
991,631,0
9528,1387,0
5724,1267,0
982,60858,0
430,332,0.085106383
1080,1411,0
10690,18382,0
1184,317,0
972,148,0
9251,42,0
714,1025,0
197,273,0
1268,468,0
2424,4814,0
3691,9007,0
332,1038,0
697,715,0
820,449,0
738,3135,0
1096,3898,0
2671,3385,0
3008,931,0
3008,1020,0
29803,3706,0
839,1025,0
1219,1003,0
405,1181,0
237,4053,0
833,1267,0
6144,2425,0
873,1078,0
606,2424,0
10674,339,0
11194,314,0
19605,9007,0
631,991,0
2671,441,0
873,16696,0
991,931,0
415,995,0
20699,1506,0
26,862,0
164,985,0
2282,3911,0
1897,62,0
3008,349,0
410,648,0
2381,14928,0
4103,800,0
825,449,0
653,5219,0
2671,11,0
347,3348,0
409,2444,0
4,845,0
512,762,0
2424,3336,0
2944,20698,0
290,1175,0
2462,720,0
2990,294,0
3225,845,0
13299,5225,0
11127,7567,0
11,1088,0
931,31,0
820,16197,0
995,47,0
409,23826,0
6195,2047,0
862,4084,0
1085,4750,0
16775,413,0
18303,9007,0
800,1429,0.024474023
265,653,0
14,3551,0
132,1031,0
42,13328,0
336,6195,0
1050,150,0
31,1429,0
2457,1301,0
36,820,0
1321,1322,0
499,932,0
833,62,0
825,1267,0
24566,918,0
120,18916,0
6907,583,0
1032,1039,0
2861,1073,0
1385,984,0
195,2282,0
4128,3725,0
276,19,0
4033,1386,0
142,418,0
1041,398,0
21173,223,0
1184,157,0
931,273,0
1047,4271,0
276,4337,0
266,3172,0
252,46,5.159574468
868,820,0
9241,475,0
3911,13578,0
1158,10721,0
1005,416,0.119047619
347,3368,0
2566,503,0
4603,6320,0
237,472,0
1106,3327,0
4603,3396,0
272,306,0
150,1003,0
1385,1038,0
21716,9007,0
2968,5111,0
39,265,0
26,3709,0
41,190,0
7975,62,0
12630,599,0
5546,18945,0
1083,11127,0
1301,1078,0
50545,749,0
416,1005,0
2687,150,0
750,1175,0
58,403,0
3345,2457,0
1421,172,0
4114,1387,0
631,641,0
26789,4083,0
8717,475,0
1421,26571,0
121,11282,0
354,1073,0
1283,317,0
22556,46,0
2521,1075,0
1245,656,0
420,14766,0
11107,327,0
6894,524,0
11337,1429,0
4153,12,0
121,22220,0
2462,1264,0
1132,281,0
585,36,0
20735,399,0
5546,156,0
132,26008,0
1433,58,0.25
11126,2783,0
105,114,0
972,2288,0
202,167,0
306,543,0
4690,114,0
2598,450,0
1429,800,0
152,820,0
24,28,0
157,1064,0
643,610,0
18,862,0
3592,10674,0
467,235,0
11368,1304,0
312,338,0
86,409,0
2457,36590,0
6711,383,0
3345,3336,0
1435,18026,0
47,653,0
56,1766,0
1073,1164,0
2967,417,0
2686,6994,0
720,1114,0
21613,2671,0
162,1306,0
9681,354,0
989,192,0
3205,4603,0
687,2282,0
9735,405,0
2464,940,0
26370,506,0
2639,3336,0
1518,6894,0
148,18,0
9007,3592,0
9465,354,0
845,448,0
715,964,0
366,1050,0
5621,12,0
33,80,0
1081,618,0
255,3725,0
683,1119,0
21957,37276,0
45278,197,0
142,714,0
599,419,0
2672,683,0
12392,2375,0
862,4331,0
4176,2424,0
22619,130,0
2598,697,0
2424,7211,0
9074,447,0
430,2921,0
595,417,0
4102,800,0
22,738,0
660,931,0
820,825,0
1766,845,0
825,114,0
8835,9526,0
3785,660,0
866,331,0
8970,4083,0
6195,1210,0
1322,2311,0
520,417,0
475,708,0
8838,18303,0
697,6249,0
410,2047,0
6621,3706,0
1143,499,0
7378,10632,0
169,3985,0
309,1301,0
13,506,0
200,4128,0
1386,2655,0
347,1081,0
1467,126,0
6621,820,0
355,3008,0
855,294,0
2758,20,0
90,266,0
4750,7046,0
8054,62,0
1301,403,0
1204,141,0
12374,449,0
4553,130,0
67496,413,0
749,380,0
2410,11107,0
2420,5310,0
11688,449,0
862,458,0.198019802
42,60,0
3271,2431,0
11127,16704,0
289,990,0
4718,800,0
610,6195,0
1070,720,0
1269,3999,0
2431,720,0
1426,1068,0
4255,430,0
3271,2503,0
6195,3205,0
1075,252,0
1081,31,0
2737,232,0
1025,800,0
4,24,0
8835,31403,0
2323,449,0
1110,22,0
677,164,0
3197,1436,0
46,458,0
2598,4440,0
122,17,0
20,1167,0
10690,8963,0
3392,265,0
31625,1245,0
79,60,0
940,13,0
12853,1071,0
4128,197,0
2296,3302,0
1434,180,0
3348,2424,0
1186,4128,0
1075,336,0.263157895
1003,931,0
4541,276,0
1385,800,0
2439,2700,0
2293,1267,0
2944,449,0
4084,862,0
1421,150,0
20,11158,0
3709,4053,0
10348,46,0
4035,383,0
4083,130,0
290,618,0.476190476
40,8023,0
11057,157,0
1041,199,0
16795,2687,0
504,2698,0
39,23,0
2424,1075,0
2350,338,0
1321,62,0
713,6418,0
172,27221,0
16247,339,0
3,6890,0
1531,683,0
20664,2381,0
993,150,0
458,430,0
18075,720,0
142,410,0
368,134,0
347,1175,0
12770,273,0
332,1411,0
1237,379,0
720,1023,0
982,1075,0
1161,1158,0
355,44,0
990,164,0
897,2619,0
3725,12064,0
10959,47,0
142,1444,0
619,347,0
862,932,0
1507,1267,0
42,512,0
845,20,0
19164,800,0
1436,979,0
418,5,5.941772414
8042,1184,0
294,238,0
21586,1091,0
6105,1075,0
44,79,0.066666667
1245,28643,0
12381,449,0
4603,3062,0
897,45278,0
1267,2293,0
1147,3524,0
223,810,0
79,498,0
1402,2984,0
1184,11107,0
618,720,0
2425,2995,0
1047,12,0
501,1237,0
751,2783,0
1091,683,0
1210,506,0
498,3234,0
232,978,0
449,19771,0
2311,5544,0
22203,862,0
20698,2944,0
5546,6491,0
1039,631,0
1100,409,0
4083,1038,0
4,8,0
37463,416,0
2990,10949,0
169,260,0
327,18303,0
2296,3368,0
3706,5572,0
3,27,0
4814,2639,0
252,1386,0
23611,33179,0
1228,467,0
33,127,0
1322,26258,0
979,982,0
235,234,0
3202,924,0
2462,121,0
510,506,0
3341,2431,0
204,968,0
33439,653,0
1426,317,0
1104,410,0
172,12004,0
1022,918,0
5358,897,0
5539,2984,0
1210,46,0
266,14,0
11,1270,0
36,114,0
1755,126,0
398,1210,0
1083,932,0.099009901
22,603,0
2566,11956,0
114,221,0
8715,128,0
2311,941,0
114,3229,0.273600668
2921,56265,0
833,11688,0
257,266,0
131,11,0
4750,2457,0
21615,1304,0
2439,121,0
935,155,0
897,33,0
398,7185,0
9262,235,0
503,11107,0
403,798,0
14,170,0
2783,157,0
121,964,1.247047392
1159,6890,0
2503,720,0
653,3899,0
553,265,0
931,7972,0
982,25243,0
59,1085,0
798,1090,0
862,416,0.263157895
281,2455,0
467,404,0
3165,347,0
10484,1267,0
2696,232,0
2655,506,0
1020,738,0
6692,1038,0.26106934
2331,1387,0
1532,3709,0
202,512,0
28095,121,0
9241,1301,0
1455,234,0
6414,3592,0
1003,355,0
26,18,0
5377,475,0
472,993,0
10,5223,0
630,13,0
135,2311,0
3391,2441,0
210,1049,0
26,409,0
14906,7185,0
365,1091,0
294,1411,0
3718,2696,0
3205,850,0
4271,2477,0
1837,2984,0
131,1050,0
368,7077,0
800,4159,0
713,2410,0
1627,2251,0
26871,2969,0
2463,868,0
1075,44,0
2282,679,0
10484,2330,0
379,972,0
7006,931,0
683,33,0
114,845,0
1032,631,0
12861,941,0
6890,11688,0
234,499,0.075
35492,2984,0
1390,1105,0
2745,122,0
169,47,0
814,19294,0
3508,940,0
252,4103,0
120,10484,0
3,57,0
2662,6,0
2999,1132,0
1090,1132,0
281,940,0
16247,21903,0
164,873,0
16242,6414,0
631,110,0
3131,354,0
931,596,0
964,232,0
710,10690,0
12515,16247,0
1267,20698,0
234,1455,0
14171,10874,0
3352,294,0
294,11255,0
1159,368,0
683,5219,0
416,1388,0
170,72,0
1023,338,0
9465,3508,0
6414,2775,0
15020,2292,0
368,3302,0
22,173,0
199,273,0
2425,979,0
3736,1411,0
12804,512,0
2381,7804,0
2598,797,0
653,6028,0
1245,11855,0
3349,3325,0
1307,12,0
2444,170,0
10690,6996,0
6890,36,0.714285714
6603,1245,0
6,1053,0
18303,21218,0
150,681,0
152,27603,0
294,669,0
2457,10949,0
244,1095,0
6414,3650,0
234,206,0
164,631,0
8970,252,0
1387,416,0
252,506,0
1455,1090,0
1533,13226,0
605,4795,0.005198181
279,5544,0
3592,16245,0
150,36100,0
4467,122,0
697,276,0
1075,982,0
2413,289,0
405,931,0
4603,5220,0
5225,3812,0
170,94,0
6163,79,0
15268,3349,0
5545,13718,0
405,466,0
11085,2457,0
276,1390,0.014285714
698,603,0
825,44005,0
1084,134,0
5432,290,0
11083,11194,0
3688,29,0
8287,410,0
355,972,0
2403,1025,0
312,2374,0
17133,11127,0
1244,1532,0
265,11997,0
216,377,0
3368,8023,0
3,2,0
122,20698,0
50,16,0
221,58,0
15,167,0
6371,2969,0
33,114,0.940854612
253,2698,0
10690,6992,0
1301,4814,0
3,4,0.065789474
21586,2079,0
3725,964,0
422,833,0
1252,289,0
1083,964,0
2079,8031,0
2047,458,0
1049,398,0
932,984,0
468,499,0
132,383,0
148,1123,0
2861,3085,0
144,11103,0
23079,1897,0
221,46,0
4750,458,0
24,158,0
1420,1050,0
3057,475,0
5225,6200,0
467,127,0
60,80,0
28956,21941,0
4326,1627,0
447,1520,0
1436,2457,0
1095,747,0
152,1267,0
1038,1005,0
3691,2441,0
800,4541,0
7179,2990,0
6890,126,0
2362,10139,0
5358,621,0
1388,458,0
265,2292,0
290,11,0
3719,3691,0
1823,447,0
5545,941,0
1408,130,0
1301,720,0
1508,2375,0
281,1123,0
2457,294,0
6890,449,0
5107,208,0
3209,114,0
9007,21218,0
2251,46,0
2696,618,0
