source,target,num_players,total_amount,total_adjusted_amount,"num_young_players, num_middle_aged_players, num_old_players"
2420,1075,6,0.00114,0.001709401709401709401709401709,1,4,1
2420,829,3,0,0,0,0,3
417,10492,1,0,0,1,0,0
199,336,5,0.07868,0.1239766081871345029239766082,0,4,1
204,566,9,0.00376,0.008679593721144967682363804247,2,4,3
122,447,1,0,0,0,1,0
2420,35272,1,0.0057,0.006118505796479175611850579648,0,1,0
8007,485,1,0,0,1,0,0
2995,26740,1,0,0,1,0,0
4750,4275,1,0,0,1,0,0
6098,653,10,0,0,10,0,0
23777,2662,1,0,0,0,1,0
1091,169,6,0,0,3,2,1
1244,13225,1,0,0,0,1,0
15,65,4,0.00057,0.001190476190476190476190476190,3,1,0
197,62,5,0.0114,0.01842105263157894736842105263,2,3,0
2413,1132,1,0,0,1,0,0
2,33,4,0,0,3,1,0
172,1417,2,0,0,2,0,0
583,162,4,0,0,2,1,1
367,2726,1,0,0,1,0,0
197,2698,2,0.0057,0.01086956521739130434782608696,1,0,1
10690,6422,1,0,0,1,0,0
621,3679,1,0,0,1,0,0
3508,601,5,0,0,0,4,1
19164,252,4,0,0,4,0,0
1386,5,6,0,0,6,0,0
2,127,1,0.00399,0.004282954057535422928295405754,0,0,1
2439,5268,3,0,0,0,3,0
50976,868,1,0,0,1,0,0
1042,1123,2,0.0684,0.1558441558441558441558441558,2,0,0
190,4,1,0,0,0,1,0
1511,4574,1,0,0,0,1,0
3327,2995,7,0,0,2,4,1
7056,2431,1,0,0,1,0,0
3341,2503,1,0,0,1,0,0
11,289,1,0.0274,0.02379711655376063922181691853,0,1,0
4172,862,10,0,0,7,3,0
403,475,1,0,0,1,0,0
814,6377,22,0,0,15,5,2
44,80,4,0.0125,0.01414827391058290888511601585,1,2,1
4750,25819,1,0,0,1,0,0
4458,999,1,0,0,0,1,0
189,3709,3,0.0627,0.1394494833645489172751951851,0,2,1
430,281,4,0.5609,0.8298985913628956880650471062,3,1,0
704,398,2,0,0,2,0,0
192,3368,1,0,0,0,1,0
6489,2311,1,0,0,1,0,0
1420,1158,3,0.0513,0.05174405174405174405174405175,2,1,0
7378,982,4,0,0,3,1,0
2740,739,2,0,0,0,1,1
434,1082,1,0,0,1,0,0
1411,172,9,0,0,7,2,0
820,589,13,0,0,4,5,4
6996,6414,10,0,0,2,8,0
2696,21218,1,0,0,1,0,0
34559,6676,1,0,0,0,1,0
814,19799,1,0,0,1,0,0
720,609,3,0.0125,0.01874343979607137501874343980,0,2,1
42,984,1,0.0171,0.01835551738943752683555173894,0,1,0
276,162,1,0,0,0,0,1
520,2321,3,0,0,2,1,0
4482,448,1,0,0,1,0,0
8427,28643,2,0,0,1,0,1
4628,20,20,0,0,20,0,0
499,46,1,0,0,1,0,0
4295,355,1,0,0,1,0,0
142,371,2,0,0,2,0,0
37487,65,1,0,0,1,0,0
4380,2477,1,0,0,1,0,0
41877,479,1,0,0,1,0,0
845,2944,7,0,0,2,4,1
2410,5268,6,0.01026,0.02206954335986594051110180142,2,4,0
584,2944,6,0,0,3,2,1
2781,715,1,0,0,0,0,1
223,2362,4,0,0,1,2,1
498,2573,1,0,0,0,1,0
648,2867,2,0,0,0,2,0
20519,1038,1,0,0,1,0,0
2703,11126,1,0,0,0,1,0
762,698,1,0,0,1,0,0
350,289,9,0.0399,0.05607453684603445904795583584,4,4,1
5648,2687,2,0,0,0,2,0
935,11609,13,0,0,5,4,4
610,148,3,0.7524,0.6114625941358614625941358615,2,1,0
3508,76,1,0,0,0,0,1
13299,5544,2,0,0,1,1,0
2944,6894,4,0,0,0,3,1
3083,601,1,0,0,1,0,0
4255,398,3,0,0,3,0,0
11126,232,1,0,0,1,0,0
2394,86,1,0.00228,0.004761904761904761904761904762,1,0,0
589,2293,9,0,0,0,5,4
409,669,1,0,0,0,0,1
467,58,2,0.02,0.04177109440267335004177109440,1,0,1
1075,897,1,0,0,1,0,0
4771,1627,1,0,0,1,0,0
114,820,4,0.0114,0.02173913043478260869565217391,2,1,1
46,2250,1,0,0,1,0,0
355,289,3,0.0365,0.07445940432476540187678498572,1,2,0
458,839,3,0,0,2,1,0
368,683,3,0.057,0.05471718428014162645956037331,0,3,0
1426,520,1,0,0,1,0,0
11,349,1,0.00285,0.002475247524752475247524752475,1,0,0
1085,11900,1,0,0,1,0,0
3225,968,3,0.00314,0.007154249259512417407154249260,3,0,0
2671,11,1,0.0239,0.009443654180496285759443654180,1,0,0
430,252,7,0.24854,0.4851928187614012765709424476,2,3,2
273,1020,4,0.1357,0.3132502308402585410895660203,1,2,1
1386,252,15,0.0513,0.1046511627906976744186046512,7,3,5
5378,132,1,0.00428,0.004844368986983588002263723826,0,1,0
1186,5268,6,0,0,4,1,1
317,1035,1,0,0,0,1,0
2311,6377,1,0,0,1,0,0
142,398,3,0.0684,0.06382978723404255319148936170,0,3,0
839,19,6,0,0,3,1,2
234,964,1,0,0,1,0,0
1268,1426,2,0,0,0,2,0
11688,120,1,0,0,0,0,1
1837,7185,2,0.0004,0.0008354218880534670008354218881,0,2,0
6163,13726,1,0,0,0,0,1
2,202,2,0,0,0,1,1
458,1307,1,0,0,1,0,0
715,8984,1,0,0,0,1,0
1701,2990,1,0,0,1,0,0
972,1032,1,0,0,1,0,0
1075,3368,1,0.1015,0.06595191682910981156595191683,0,1,0
36,132,1,0,0,0,0,1
11103,24575,1,0,0,1,0,0
124,180,4,0.0368,0.08322472848788638262322472849,0,2,2
3368,720,1,0,0,0,1,0
6993,3593,2,0,0,0,2,0
1083,6082,2,0,0,2,0,0
2598,4537,1,0,0,1,0,0
964,20,1,0.00912,0.01823270691723310675729708117,0,1,0
29962,2441,1,0,0,1,0,0
1087,630,3,0,0,3,0,0
314,1242,1,0,0,1,0,0
6630,449,5,0,0,3,2,0
25029,24575,2,0,0,1,1,0
316,122,4,0,0,1,1,2
543,405,3,0,0,0,1,2
3811,4128,1,0.00342,0.007142857142857142857142857143,1,0,0
1436,8142,3,0,0,1,1,1
192,113,1,0,0,0,1,0
10694,6414,1,0,0,1,0,0
172,157,7,0.04389,0.03213886397169841793373914027,2,5,0
15,72,1,0.00855,0.0125,0,1,0
6996,338,11,0,0,7,3,1
4171,1390,2,0,0,2,0,0
1436,7086,1,0,0,1,0,0
862,416,8,0.0114,0.02631578947368421052631578947,2,3,3
1388,1091,1,0,0,0,0,1
10668,6087,5,0,0,4,0,1
46,9826,1,0,0,1,0,0
2079,6676,3,0,0,2,1,0
367,417,1,0,0,0,0,1
1027,180,2,0,0,0,1,1
2696,932,7,0.02109,0.03676691729323308270676691729,4,2,1
3985,2441,2,0,0,2,0,0
62,377,7,0.00439,0.003737117158169789748737117159,1,4,2
3070,144,1,0,0,0,1,0
8838,6994,3,0,0,3,0,0
3341,294,3,0,0,3,0,0
2669,128,2,0,0,2,0,0
3057,2861,1,0,0,0,1,0
3711,289,1,0,0,0,1,0
5,398,5,0.0587,0.1182829193903833815311084868,2,0,3
39,3,5,0.25938,0.1324944240004167049503162062,4,1,0
244,1147,5,0,0,4,1,0
368,46,3,0,0,0,2,1
4786,450,2,0,0,2,0,0
44,148,2,0.122,0.2816251154201292705447830101,1,0,1
607,6195,1,0,0,0,0,1
337,1436,1,0,0,0,0,1
2375,3205,4,0.01528,0.02743027782221511224870687357,4,0,0
4324,862,3,0,0,3,0,0
2362,498,4,0.01197,0.01094962072420208959496207242,3,1,0
4641,327,2,0,0,1,1,0
133,1304,4,0.00513,0.002027027027027027027027027027,1,3,0
2296,131,1,0,0,1,0,0
1103,800,6,0,0,4,1,1
820,152,3,0,0,0,3,0
430,749,8,0.01482,0.01710526315789473684210526316,4,2,2
798,2292,1,0,0,1,0,0
2696,142,1,0,0,0,0,1
10898,2410,1,0,0,1,0,0
1627,4172,1,0,0,1,0,0
2180,3178,1,0,0,0,0,1
16655,403,1,0.0057,0.01315789473684210526315789474,1,0,0
3709,1532,3,0,0,1,2,0
266,84,1,0,0,1,0,0
36,2330,1,0,0,0,1,0
4383,4467,1,0,0,1,0,0
16795,630,3,0,0,1,1,1
2944,1427,2,0,0,2,0,0
6419,964,2,0,0,2,0,0
979,2457,4,0,0,1,3,0
1029,237,1,0.0399,0.09210526315789473684210526316,1,0,0
3691,12049,2,0.00046,0.0009196321471411435425829668133,1,1,0
7185,5219,5,0,0,2,3,0
1210,10492,1,0,0,1,0,0
979,2420,5,0,0,0,4,1
4326,6574,1,0,0,1,0,0
26709,1268,1,0,0,1,0,0
1388,6195,3,0,0,1,0,2
23826,105,1,0,0,0,1,0
4083,430,6,0.0342,0.02222222222222222222222222222,5,1,0
355,1039,1,0.00513,0.01046511627906976744186046512,0,0,1
3725,2698,4,0,0,3,1,0
8817,1268,4,0,0,4,0,0
3319,237,1,0,0,1,0,0
720,121,6,0.4959,1.142173615857826384142173616,2,2,2
2655,252,9,0,0,6,2,1
585,16704,1,0.0912,0.05925925925925925925925925926,0,1,0
993,1158,1,0,0,0,1,0
1455,1268,17,0,0,16,1,0
16704,932,5,0.1026,0.06666666666666666666666666667,1,2,2
2292,6,1,0,0,1,0,0
22403,276,1,0,0,1,0,0
6890,1264,1,0,0,0,1,0
14,541,2,0,0,2,0,0
141,1037,1,0,0,1,0,0
4558,458,2,0,0,2,0,0
410,26789,1,0,0,1,0,0
29228,3508,1,0,0,1,0,0
11194,599,1,0,0,1,0,0
2227,2742,4,0,0,1,3,0
37569,1090,1,0,0,1,0,0
142,379,1,0,0,0,1,0
1386,1005,4,0,0,2,2,0
9439,130,6,0,0,6,0,0
16704,2696,3,0,0,0,2,1
2282,3535,1,0,0,0,1,0
321,941,1,0,0,0,1,0
10004,415,1,0,0,1,0,0
1268,6314,2,0,0,1,1,0
216,13726,1,0,0,1,0,0
968,8427,2,0,0,0,1,1
7378,720,18,0.0684,0.04444444444444444444444444444,15,3,0
409,10999,1,0.00342,0.002970297029702970297029702970,0,1,0
506,749,5,0.02736,0.02851573377889167362851573378,4,1,0
862,2047,1,0,0,1,0,0
1038,11961,1,0,0,1,0,0
430,23826,1,0.00627,0.006730356376127093173035637613,0,1,0
1435,1304,3,0,0,2,1,0
130,86,1,0,0,0,1,0
5543,2921,1,0,0,1,0,0
3898,1111,3,0,0,3,0,0
7975,1412,1,0,0,0,1,0
3593,9007,8,0,0,3,4,1
28990,314,2,0,0,2,0,0
408,8579,1,0,0,1,0,0
23633,2227,1,0,0,0,1,0
13517,19,2,0,0,2,0,0
3,86,4,0.10545,0.09797864225781845919145690313,2,1,1
5219,2079,5,0,0,0,2,3
86,80,1,0,0,0,1,0
