source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
14589,2700,4,0,0,0,3,1,0,0,0,0,0,0
714,290,1,0,0,1,0,0,0,0,0,0,0,0
36,3,3,0,0,0,1,2,0,0,0,0,0,0
21586,7185,1,0,0,1,0,0,0,0,0,0,0,0
595,26326,1,0,0,1,0,0,0,0,0,0,0,0
4750,3352,5,0,0,4,1,0,0,0,0,0,0,0
238,419,3,0.00912,0.005925926,0,3,0,0,0.00912,0,0,0.005925926,0
984,989,3,0,0,0,3,0,0,0,0,0,0,0
21941,683,1,0,0,1,0,0,0,0,0,0,0,0
50976,868,1,0,0,1,0,0,0,0,0,0,0,0
306,524,1,0.0137,0.031625115,0,1,0,0,0.0137,0,0,0.031625115,0
331,11422,2,0,0,1,1,0,0,0,0,0,0,0
1420,3525,1,0,0,0,0,1,0,0,0,0,0,0
2288,3716,3,0,0,2,1,0,0,0,0,0,0,0
2781,5544,1,0,0,0,1,0,0,0,0,0,0,0
1082,940,1,0,0,0,1,0,0,0,0,0,0,0
3271,979,1,0,0,0,1,0,0,0,0,0,0,0
723,200,2,0,0,2,0,0,0,0,0,0,0,0
499,2838,1,0,0,1,0,0,0,0,0,0,0,0
6418,1837,1,0,0,1,0,0,0,0,0,0,0,0
609,720,10,0.0616,0.102760015,5,5,0,0.0251,0.0365,0,0.023422919,0.079337096,0
16795,410,45,0.1254,0.17546709,27,15,3,0.1254,0,0,0.17546709,0,0
16,985,3,0.6612,0.780952381,2,1,0,0.1824,0.4788,0,0.380952381,0.4,0
410,2921,6,0.0456,0.038095238,6,0,0,0.0456,0,0,0.038095238,0,0
4102,206,1,0.00257,0.002966297,0,1,0,0,0.00257,0,0,0.002966297,0
2457,720,5,0.0222,0.043770954,3,1,1,0.0222,0,0,0.043770954,0,0
2680,128,10,0,0,8,2,0,0,0,0,0,0,0
273,1160,3,0,0,2,0,1,0,0,0,0,0,0
4603,40416,1,0,0,1,0,0,0,0,0,0,0,0
13299,941,3,0,0,3,0,0,0,0,0,0,0,0
17194,410,2,0,0,1,1,0,0,0,0,0,0,0
2,336,2,0,0,1,1,0,0,0,0,0,0,0
2566,447,20,0.00912,0.018604651,17,1,2,0.00912,0,0,0.018604651,0,0
144,15887,2,0,0,1,1,0,0,0,0,0,0,0
413,409,8,0.0137,0.02054281,3,4,1,0,0.0137,0,0,0.02054281,0
130,41506,1,0,0,1,0,0,0,0,0,0,0,0
750,417,3,0.0285,0.05952381,1,2,0,0,0.0285,0,0,0.05952381,0
6107,2477,1,0,0,0,1,0,0,0,0,0,0,0
169,6365,1,0,0,0,0,1,0,0,0,0,0,0
2919,46,7,0,0,7,0,0,0,0,0,0,0,0
6351,1386,1,0,0,1,0,0,0,0,0,0,0,0
282,2292,1,0.00057,0.001190476,1,0,0,0.00057,0,0,0.001190476,0,0
20,524,5,0.0171,0.032608696,2,2,1,0,0.0171,0,0,0.032608696,0
3230,204,11,0,0,10,1,0,0,0,0,0,0,0
28596,62,7,0,0,7,0,0,0,0,0,0,0,0
800,1429,24,0.07238,0.083356913,14,6,4,0.0285,0.0416,0.00228,0.032894737,0.048014774,0.002447402
1304,9681,1,0,0,0,0,1,0,0,0,0,0,0
498,2861,1,0,0,0,1,0,0,0,0,0,0,0
114,3207,4,0,0,3,1,0,0,0,0,0,0,0
601,10680,1,0,0,0,1,0,0,0,0,0,0,0
2921,458,6,0.0245,0.056555863,6,0,0,0.0245,0,0,0.056555863,0,0
347,3161,2,0,0,2,0,0,0,0,0,0,0,0
405,989,6,0,0,3,2,1,0,0,0,0,0,0
405,1162,1,0,0,1,0,0,0,0,0,0,0,0
25,98,1,0,0,1,0,0,0,0,0,0,0,0
537,720,1,0,0,0,1,0,0,0,0,0,0,0
589,6,4,0,0,1,2,1,0,0,0,0,0,0
3062,169,12,0,0,12,0,0,0,0,0,0,0,0
537,430,2,0.0228,0.026315789,2,0,0,0.0228,0,0,0.026315789,0,0
1090,10484,1,0,0,0,0,1,0,0,0,0,0,0
403,1389,1,0,0,0,1,0,0,0,0,0,0,0
148,1061,2,0.0428,0.089390142,0,0,2,0,0,0.0428,0,0,0.089390142
265,39,3,0.04508,0.048306299,1,2,0,0.0257,0.01938,0,0.027586947,0.020719352,0
1158,289,2,0.3021,0.276002506,1,1,0,0.228,0.0741,0,0.19047619,0.085526316,0
